candy_name,ingredients,image_url,,,,,,,,,,,,,,,,,,,,,,,
Nutrageous,"Peanut, Caramel, Peanut Butter in a Milk Chocolate Coating, Sugar, Cocoa Butter, Chocolate, Milk, Lactose, Milkfat, Nonfat Milk, Soy Lecithin, Peanuts, Glucose-Fructose Syrup, Sugar, Humectant, Dextrose, High Maltose Corn Syrup, Palm Kernel Oil, Salt, Whey, Corn Syrup, Whey Protein Concentrate, Artificial Flavour, Sodium Caseinate, Emulsifier, Preservative",https://www.groovycandies.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/n/u/nurageousbar.jpg,,,,,,,,,,,,,,,,,,,,,,,
Old Faithful,"Sugar, Whole Milk Powder, Statement Cocoa Butter, Chocolate Liquor, Soy Lecithin, Vanillin, Peanuts, Corn Syrup, Salt, Egg Albumen, Gelatin, Vanillin",https://goldbelly.imgix.net/uploads/product_image/image/26746/old-faithful-18-pack.c5b232c5882b9964f2c27be2c494fa98.jpg?ixlib=rails-3.0.2,,,,,,,,,,,,,,,,,,,,,,,
Payday,"Ingredients: Peanuts, sugar, corn syrup, non fat, milk, palm oil, salt, carrageenan, mono and carrageenan, monoglycerides, diglycerides, egg whites, soy protein.",https://hips.hearstapps.com/del.h-cdn.co/assets/16/30/1469554166-payday2.jpg,,,,,,,,,,,,,,,,,,,,,,,
Pistache,"Peanuts, sugar, corn syrup, non fat, milk, palm oil, salt, carrageenan, mono and carrageenan, mono and diglycerides, egg whites, soy protein.",https://i.pinimg.com/originals/1f/14/ed/1f14ed17a325ddb358711296c6042154.jpg,,,,,,,,,,,,,,,,,,,,,,,
Reese's Fast Break,"Sugar, peanuts, sugar, cocoa butter, chocolate non fat milk, milk fat, lactose, soy lecithin, PGPR, emulsifier, corn syrup, dextrose, cocoa butter, palm shea, sunflower and/or safflower oil, chocolate nonfat milk, high fructose corn syrup, whey, salt, palm kernel and palm oil, cocoa processed with alkali, egg white, milk fat, cornstarch, soy lecithin, hydrolyzed milk protein, glycerin, TBHQ, vanillin, artificial flavor, yellow 5 lake, yellow 6 lake",https://images-na.ssl-images-amazon.com/images/I/81VY03-VU%2BL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Ritter Sport,"sugar, cocoa mass, almonds, cocoa butter, invert sugar syrup, soy lecithins,invertase",https://assets.sainsburys-groceries.co.uk/gol/7603398/1/640x640.jpg,,,,,,,,,,,,,,,,,,,,,,,
Rocky Road,"Sugar, Cocoa butter, Chocolate liquor, Milk powder, Soy Lecithin , Natural vanilla and artificial flavors, Sugar, Corn syrup, Cashew nuts, Palm kernel oil and coconut oil, Cocoa powder, Whey powder, Nonfat milk powder, Soy lecithin as an emulsifier, vanillin, Sorbitol, Gelatin, Glycerine, Salt, Artificial flavor",https://www.candywarehouse.com/item-images/127146-01_annabelles-rocky-road-candy-bars-24-piece-box.jpg?resizeid=102&resizeh=500&resizew=500,,,,,,,,,,,,,,,,,,,,,,,
Skor,"sugar, cocoa butter, unsweetened chocolate,lactose, soy lecithin, salt, artificial flavour, sugar, milk ingredients, chopped almonds, salt, almonds, milk and soy.",https://www.candytime.com.au/media/catalog/product/cache/2/image/362x/db978388cfd007780066eaab38556cef/h/e/hersheyskor_32.png,,,,,,,,,,,,,,,,,,,,,,,https://www.candytime.com.au/media/catalog/product/cache/2/image/362x/db978388cfd007780066eaab38556cef/h/e/hersheyskor_32.png
Sky Bar,"sugar, cocoa butter, milk, chocolate liquor, lecithin, vanillin, sugar, corn syrup, invert sugar, whole milk, sugar, coconut oil, butter, peanuts, coconut, palm, soybean, cottonseed, palm kernel), chocolate liquor, artificial & natural flavor, salt, soy lecithin, egg whites",https://www.foodbusinessnews.net/ext/resources/2019/1/NeccoSkyBar_Lead.jpg?1548343318,,,,,,,,,,,,,,,,,,,,,,,
Snickers," Milk chocolate,sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin, artificial flavor, corn syrup, peanuts, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor. Contains peanuts, milk, egg and soy",https://www.dollargeneral.com/media/catalog/product/cache/0729a8e318a86bbdd225c6c8aa5967a3/0/0/00784001.jpg,,,,,,,,,,,,,,,,,,,,,,,
